Locality,Restaurant_Count,Avg_Cost,Highest_Rating,Market_Expense_Rank
"Sector 23, Gurgaon",3,1016.6666666666666,4.6,78
"DLF Cyber City, Gurgaon",4,1000.0,4.2,79
"Sector 15, Gurgaon",9,1000.0,4.9,79
"Kirti Nagar, New Delhi",5,990.0,4.2,80
"Sector 18, Noida",17,985.2941176470588,4.4,81
"Defence Colony Main Market, Defence Colony, New Delhi",9,977.7777777777778,4.4,82
"Sector 41, Noida",3,966.6666666666666,4.7,83
"DLF Mall of India, Sector 18,  Noida, Noida",6,958.3333333333334,4.8,84
"Vasant Kunj, New Delhi",10,945.0,4.5,85
"Greater Kailash 1 (GK1), New Delhi",12,925.0,4.6,86
"Sector 54, Gurgaon",4,925.0,4.2,86
"Sohna Road, Gurgaon",10,920.0,4.6,87
"Sushant Lok, Gurgaon",9,911.1111111111111,4.7,88
"Sector 83, Gurgaon",7,900.0,4.3,89
"Hajipur, Noida",12,887.5,4.7,90
"DLF Phase 4, Gurgaon",13,876.9230769230769,4.3,91
"PVR Anupam Complex, Saket, New Delhi",4,875.0,4.4,92
"Baani Square, Sector 50, Gurgaon",19,860.5263157894736,4.7,93
"South City 2, Gurgaon",4,850.0,4.4,94
"Aditya City Centre, Indirapuram, Ghaziabad",3,833.3333333333334,4.1,95
"Sector 15, Faridabad",5,810.0,4.6,96
"Jasola, New Delhi",4,800.0,4.5,97
"Sector 53, Gurgaon",4,800.0,4.1,97
"Shahpur Jat, New Delhi",9,800.0,4.5,97
"Indirapuram, Ghaziabad",21,797.6190476190476,4.5,98
"DLF Phase 1, Gurgaon",6,791.6666666666666,4.5,99
"Delhi University-GTB Nagar, New Delhi",26,784.6153846153846,4.7,100
"Lajpat Nagar 2, New Delhi",5,780.0,4.4,101
"Safdarjung, New Delhi",24,770.8333333333334,4.6,102
"Sector 81, Faridabad",5,770.0,4.4,103
"Sector 56, Gurgaon",6,766.6666666666666,4.5,104
"Udyog Vihar, Gurgaon",4,737.5,4.4,105
"Good Earth City Center, Sector 50, Gurgaon",3,733.3333333333334,4.0,106
"Sector 5, Dwarka, New Delhi",3,733.3333333333334,4.4,106
"Rajinder Nagar, New Delhi",11,718.1818181818181,4.4,107
"Satyaniketan, New Delhi",13,715.3846153846154,4.6,108
"Sector 50, Gurgaon",9,705.5555555555555,4.4,109
"Malviya Nagar, New Delhi",20,702.5,4.3,110
"Rohini, New Delhi",34,701.4705882352941,4.4,111
"Chandni Chowk, New Delhi",6,700.0,4.7,112
"Raj Nagar, Ghaziabad",21,690.4761904761905,4.4,113
"Sector 10, Dwarka, New Delhi",4,687.5,4.4,114
"Sector 6, Dwarka, New Delhi",3,683.3333333333334,4.1,115
"Karkardooma, New Delhi",17,676.4705882352941,4.5,116
"Basant Lok Market, Vasant Vihar, New Delhi",3,666.6666666666666,4.1,117
"Kamla Nagar, New Delhi",12,666.6666666666666,4.3,117
"Majnu ka Tila, New Delhi",7,664.2857142857143,4.6,118
"Pitampura, New Delhi",15,663.3333333333334,4.3,119
"Sector 49, Gurgaon",8,656.25,4.5,120
"Supermart 1, DLF Phase 4, Gurgaon",9,650.0,4.6,121
"Vaishali, Ghaziabad",6,650.0,4.2,121
"Janakpuri, New Delhi",22,645.4545454545455,4.3,122
"Sector 62, Noida",9,644.4444444444445,4.4,123
"Sector 72, Noida",14,642.8571428571429,4.5,124
"Crossing Republik, Ghaziabad",5,640.0,4.3,125
"Sector 135, Noida",10,635.0,4.4,126
"Ashok Vihar Phase 1, New Delhi",3,633.3333333333334,4.1,127
"Knowledge Park, Greater Noida",3,633.3333333333334,4.4,127
"Sector 7, Dwarka, New Delhi",11,631.8181818181819,4.3,128
"Vijay Nagar, New Delhi",14,621.4285714285714,4.8,129
"Alpha 2, Greater Noida",5,620.0,4.2,130
"Champa Gali, Saket, New Delhi",5,620.0,4.4,130
"Kalkaji, New Delhi",12,616.6666666666666,4.2,131
"Gaur City 1, Greater Noida",12,612.5,4.3,132
"Chittaranjan Park, New Delhi",10,605.0,4.2,133
"Model Town 2, New Delhi",3,600.0,4.2,134
"R K Puram, New Delhi",3,600.0,4.5,134
"Old Railway Road, Gurgaon",6,591.6666666666666,4.1,135
"Sector 14, Gurgaon",8,587.5,4.5,136
"Anand Vihar, New Delhi",7,585.7142857142857,4.7,137
"Raheja Mall, Sohna Road, Gurgaon",3,583.3333333333334,4.6,138
"Moti Nagar, New Delhi",5,570.0,4.3,139
"Daryaganj, New Delhi",6,566.6666666666666,4.2,140
"Murthal, New Delhi",3,566.6666666666666,4.2,140
"PVR City Centre Mall, MG Road, Gurgaon",3,566.6666666666666,4.1,140
"Sector 17, Faridabad",3,566.6666666666666,4.2,140
"Qutab Plaza, DLF Phase 1, Gurgaon",4,562.5,4.3,141
"Lajpat Nagar 4, New Delhi",6,558.3333333333334,4.2,142
"Sector 45, Noida",6,558.3333333333334,4.2,142
"DLF Phase 3, Gurgaon",12,554.1666666666666,4.3,143
"Rodeo Drive, Sector 49, Gurgaon, Gurgaon",5,550.0,4.3,144
"Sector 71, Noida",4,550.0,4.2,144
"Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",3,550.0,4.2,144
"Karol Bagh, New Delhi",20,545.0,4.3,145
"Mayur Vihar Phase 1, New Delhi",9,522.2222222222222,4.4,146
"Krishna Nagar, New Delhi",5,520.0,4.0,147
"Sector 37, Noida",6,516.6666666666666,4.2,148
"Pandav Nagar, New Delhi",4,512.5,4.3,149
"NIT, Faridabad",17,502.94117647058823,4.3,150
"Amrapali Dream Valley, Greater Noida",3,500.0,4.2,151
"Ballabhgarh, Faridabad",3,500.0,4.2,151
"Mukherjee Nagar, New Delhi",6,500.0,4.0,151
"Sector 50, Noida",4,500.0,4.2,151
"Sector 93, Noida",3,483.3333333333333,4.4,152
"Yusuf Sarai, New Delhi",7,478.57142857142856,4.3,153
"Gamma 1, Greater Noida",9,477.77777777777777,4.2,154
"Jail Road, New Delhi",9,477.77777777777777,4.2,154
"Subhash Nagar, New Delhi",9,477.77777777777777,4.7,154
"Mayur Vihar Phase 2, New Delhi",5,470.0,4.2,155
"Mayapuri Phase 2, New Delhi",4,462.5,4.1,156
"Sector 31, Gurgaon",11,454.54545454545456,4.3,157
"Gaur City 2, Greater Noida",5,450.0,4.2,158
"Tilak Nagar, New Delhi",3,450.0,4.0,158
"Vasundhara, Ghaziabad",3,450.0,4.0,158
"Vikaspuri, New Delhi",5,440.0,4.2,159
"Jaipuria Sunrise Plaza, Indirapuram, Ghaziabad",4,437.5,4.1,160
"Ashok Vihar Phase 3, New Delhi",3,433.3333333333333,4.1,161
"Prashant Vihar, New Delhi",6,433.3333333333333,4.4,161
"Sector 11, Dwarka, New Delhi",3,433.3333333333333,4.3,161
"Paschim Vihar, New Delhi",16,425.0,4.5,162
"Sector 7, Faridabad",4,425.0,4.2,162
"Shalimar Bagh, New Delhi",7,421.42857142857144,4.2,163
"Sector 31, Faridabad",3,400.0,4.2,164
"Laxmi Nagar, New Delhi",11,390.90909090909093,4.1,165
"Gujranwala Town, New Delhi",3,383.3333333333333,4.2,166
"Sector 22, Gurgaon",3,383.3333333333333,4.1,166
"Uttam Nagar, New Delhi",9,383.3333333333333,4.3,166
"Shahdara, New Delhi",9,377.77777777777777,4.2,167
"Chander Nagar, New Delhi",6,375.0,4.2,168
"Tagore Garden, New Delhi",3,366.6666666666667,4.0,169
"IP Extension, New Delhi",4,362.5,4.0,170
"Geeta Colony, New Delhi",3,333.3333333333333,4.3,171
"Jama Masjid, New Delhi",8,325.0,4.6,172
"Gole Market, New Delhi",4,287.5,4.1,173
"Sector 7, Gurgaon",4,287.5,4.2,173
"West Patel Nagar, New Delhi",3,283.3333333333333,4.1,174
